WARD_NO,ALDERMAN,ADDRESS,CITY,STATE,ZIPCODE,WARD_PHONE,WARD_FAX,EMAIL,WEBSITE,LOCATION,CITY_HALL_ADDRESS,CITY_HALL_CITY,CITY_HALL_STATE,CITY_HALL_ZIPCODE,CITY_HALL_PHONE
21,Johnson Alex,2100 Dummy Avenue,Chicago,IL,60601,(312) 555-2101,(312) 555-2102,ward21@example.com,https://www.example.com/ward21,"(41.8801, -87.6301)","121 North LaSalle Street, Room 200, Office 21",Chicago,IL,60602,(312) 555-3001
22,Williams Brian,2200 Dummy Avenue,Chicago,IL,60602,(312) 555-2201,(312) 555-2202,ward22@example.com,https://www.example.com/ward22,"(41.8812, -87.6312)","121 North LaSalle Street, Room 200, Office 22",Chicago,IL,60602,(312) 555-3002
23,Davis Michael,2300 Dummy Avenue,Chicago,IL,60603,(312) 555-2301,(312) 555-2302,ward23@example.com,https://www.example.com/ward23,"(41.8823, -87.6323)","121 North LaSalle Street, Room 200, Office 23",Chicago,IL,60602,(312) 555-3003
26,Wilson Sarah,2600 Dummy Avenue,Chicago,IL,60604,(312) 555-2601,(312) 555-2602,ward26@example.com,https://www.example.com/ward26,"(41.8834, -87.6334)","121 North LaSalle Street, Room 200, Office 26",Chicago,IL,60602,(312) 555-3004
27,Anderson James,2700 Dummy Avenue,Chicago,IL,60605,(312) 555-2701,(312) 555-2702,ward27@example.com,https://www.example.com/ward27,"(41.8845, -87.6345)","121 North LaSalle Street, Room 200, Office 27",Chicago,IL,60602,(312) 555-3005
29,Thomas Robert,2900 Dummy Avenue,Chicago,IL,60606,(312) 555-2901,(312) 555-2902,ward29@example.com,https://www.example.com/ward29,"(41.8856, -87.6356)","121 North LaSalle Street, Room 200, Office 29",Chicago,IL,60602,(312) 555-3006
30,Jackson Emily,3000 Dummy Avenue,Chicago,IL,60607,(312) 555-3001,(312) 555-3002,ward30@example.com,https://www.example.com/ward30,"(41.8867, -87.6367)","121 North LaSalle Street, Room 200, Office 30",Chicago,IL,60602,(312) 555-3007
31,White Daniel,3100 Dummy Avenue,Chicago,IL,60608,(312) 555-3101,(312) 555-3102,ward31@example.com,https://www.example.com/ward31,"(41.8878, -87.6378)","121 North LaSalle Street, Room 200, Office 31",Chicago,IL,60602,(312) 555-3008
33,Harris Jennifer,3300 Dummy Avenue,Chicago,IL,60609,(312) 555-3301,(312) 555-3302,ward33@example.com,https://www.example.com/ward33,"(41.8889, -87.6389)","121 North LaSalle Street, Room 200, Office 33",Chicago,IL,60602,(312) 555-3009
34,Martin Christopher,3400 Dummy Avenue,Chicago,IL,60610,(312) 555-3401,(312) 555-3402,ward34@example.com,https://www.example.com/ward34,"(41.8900, -87.6400)","121 North LaSalle Street, Room 200, Office 34",Chicago,IL,60602,(312) 555-3010
35,Thompson Linda,3500 Dummy Avenue,Chicago,IL,60611,(312) 555-3501,(312) 555-3502,ward35@example.com,https://www.example.com/ward35,"(41.8911, -87.6411)","121 North LaSalle Street, Room 200, Office 35",Chicago,IL,60602,(312) 555-3011
36,Garcia Matthew,3600 Dummy Avenue,Chicago,IL,60612,(312) 555-3601,(312) 555-3602,ward36@example.com,https://www.example.com/ward36,"(41.8922, -87.6422)","121 North LaSalle Street, Room 200, Office 36",Chicago,IL,60602,(312) 555-3012
37,Martinez Patricia,3700 Dummy Avenue,Chicago,IL,60613,(312) 555-3701,(312) 555-3702,ward37@example.com,https://www.example.com/ward37,"(41.8933, -87.6433)","121 North LaSalle Street, Room 200, Office 37",Chicago,IL,60602,(312) 555-3013
38,Robinson Steven,3800 Dummy Avenue,Chicago,IL,60614,(312) 555-3801,(312) 555-3802,ward38@example.com,https://www.example.com/ward38,"(41.8944, -87.6444)","121 North LaSalle Street, Room 200, Office 38",Chicago,IL,60602,(312) 555-3014
39,Clark Barbara,3900 Dummy Avenue,Chicago,IL,60615,(312) 555-3901,(312) 555-3902,ward39@example.com,https://www.example.com/ward39,"(41.8955, -87.6455)","121 North LaSalle Street, Room 200, Office 39",Chicago,IL,60602,(312) 555-3015
